source,target,genres
Al·lèrgiques al pol·len,Svetlana,[]
Al·lèrgiques al pol·len,FADES,[]
Al·lèrgiques al pol·len,La Ludwig Band,"['indie catala', 'rock catala']"
Al·lèrgiques al pol·len,miquel,['indie catala']
Ven'nus,Jo Jet i Maria Ribot,"['indie catala', 'rock catala']"
Jo Jet i Maria Ribot,Ariox,"['indie catala', 'musica catalana']"
Jo Jet i Maria Ribot,Ven'nus,"['indie catala', 'musica catalana']"
Jo Jet i Maria Ribot,Caldo,[]
Jo Jet i Maria Ribot,Reïna,['indie catala']
Jo Jet i Maria Ribot,Maria Jaume,"['indie catala', 'rock catala']"
Jo Jet i Maria Ribot,Guillem Ramisa,"['cantautor catala', 'indie catala', 'rock catala']"
Jo Jet i Maria Ribot,Mar Pujol,['indie catala']
Jo Jet i Maria Ribot,Da Souza,"['indie catala', 'musica mallorquina', 'rock catala']"
Jo Jet i Maria Ribot,roserona,"['indie catala', 'musica catalana']"
Jo Jet i Maria Ribot,Anna Andreu,['indie catala']
Jo Jet i Maria Ribot,Mireia Vives & Borja Penalba,"['cantautor catala', 'rock catala']"
Jo Jet i Maria Ribot,Socunbohemio,['indie catala']
Jo Jet i Maria Ribot,Kerrature,[]
Jo Jet i Maria Ribot,paunezz,['indie catala']
Jo Jet i Maria Ribot,Al·lèrgiques al pol·len,"['indie catala', 'musica catalana']"
Jo Jet i Maria Ribot,Massaviu,"['indie catala', 'musica catalana']"
Jo Jet i Maria Ribot,miquel,['indie catala']
Jo Jet i Maria Ribot,Lluís Cabot,"['indie catala', 'musica mallorquina']"
Jo Jet i Maria Ribot,Marcel i Júlia,"['cantautor catala', 'indie catala', 'musica catalana', 'rock catala']"
Jo Jet i Maria Ribot,Marialluïsa,['indie catala']
Ven'nus,Da Souza,"['indie catala', 'musica mallorquina', 'rock catala']"
Da Souza,Lluís Cabot,"['indie catala', 'musica mallorquina']"
Da Souza,Reïna,['indie catala']
Da Souza,Miquel Serra,"['indie catala', 'musica mallorquina']"
Da Souza,Maria Jaume,"['indie catala', 'rock catala']"
Da Souza,Jorra i Gomorra,"['indie catala', 'musica mallorquina']"
Da Souza,Salvatge Cor,"['indie catala', 'musica mallorquina']"
Da Souza,Marialluïsa,['indie catala']
Da Souza,Germà Aire,['indie catala']
Da Souza,Renaldo & Clara,"['indie catala', 'rock catala']"
Da Souza,MARIA HEIN,['indie catala']
Da Souza,Joan Miquel Oliver,"['cantautor', 'cantautor catala', 'indie catala', 'musica mallorquina', 'rock catala']"
Da Souza,Jo Jet i Maria Ribot,"['indie catala', 'rock catala']"
Da Souza,Ferran Palau,"['cantautor catala', 'indie catala', 'rock catala']"
Da Souza,Socunbohemio,['indie catala']
Da Souza,La Ludwig Band,"['indie catala', 'rock catala']"
Da Souza,Roger Pistola,['musica mallorquina']
Da Souza,Plan-ET,[]
Da Souza,Anna Andreu,['indie catala']
Da Souza,El Petit De Cal Eril,"['cantautor catala', 'indie catala', 'rock catala']"
Da Souza,Roig!,['musica mallorquina']
Ven'nus,Pau Vallvé,"['cantautor catala', 'indie catala', 'rock catala']"
Pau Vallvé,Ferran Palau,"['cantautor catala', 'indie catala', 'rock catala']"
Pau Vallvé,Socunbohemio,['indie catala']
Pau Vallvé,Maria Jaume,"['indie catala', 'rock catala']"
Pau Vallvé,El Petit De Cal Eril,"['cantautor catala', 'indie catala', 'rock catala']"
Pau Vallvé,Da Souza,"['indie catala', 'musica mallorquina', 'rock catala']"
Pau Vallvé,La iaia,"['indie catala', 'rock catala']"
Pau Vallvé,Joan Miquel Oliver,"['cantautor', 'cantautor catala', 'indie catala', 'musica mallorquina', 'rock catala']"
Pau Vallvé,Jo Jet i Maria Ribot,"['indie catala', 'rock catala']"
Pau Vallvé,Joan Colomo,"['cantautor catala', 'indie catala', 'rock catala']"
Pau Vallvé,Mishima,"['indie catala', 'rock catala']"
Pau Vallvé,Renaldo & Clara,"['indie catala', 'rock catala']"
Pau Vallvé,La Ludwig Band,"['indie catala', 'rock catala']"
Pau Vallvé,Maria Coma,['indie catala']
Pau Vallvé,Inspira,"['indie catala', 'spanish indie folk']"
Pau Vallvé,Guillem Gisbert,['indie catala']
Pau Vallvé,Sanjosex,"['cantautor', 'indie catala', 'rock catala']"
Pau Vallvé,Ginestà,"['cantautor catala', 'indie catala', 'musica catalana', 'rock catala']"
Pau Vallvé,Guillem Ramisa,"['cantautor catala', 'indie catala', 'rock catala']"
Pau Vallvé,Mazoni,"['indie catala', 'rock catala']"
Pau Vallvé,Ven'nus,"['indie catala', 'musica catalana']"
Ven'nus,Moli,[]
Moli,Prodbymarshall,[]
Moli,Massaviu,"['indie catala', 'musica catalana']"
Moli,Ariox,"['indie catala', 'musica catalana']"
Moli,roserona,"['indie catala', 'musica catalana']"
Moli,Caldo,[]
Moli,Uri,['musica catalana']
Moli,paunezz,['indie catala']
Moli,Linària,[]
Moli,Ven'nus,"['indie catala', 'musica catalana']"
Moli,Noxtorn,['trap catala']
Moli,Galgo Lento,['indie catala']
Moli,Cooba,[]
Moli,poggioli,[]
Moli,Iglú,"['indie catala', 'musica catalana']"
Moli,Alba Grasa,[]
Moli,miquel,['indie catala']
Moli,Lluc,['trap catala']
Moli,Sabana,[]
Moli,VITTARA,[]
Moli,Mårshåll,[]
Ven'nus,Lluc,['trap catala']
Lluc,jamzz,[]
Lluc,Chill C,['trap catala']
Lluc,Massaviu,"['indie catala', 'musica catalana']"
Lluc,enMatu,[]
Lluc,kuu,[]
Lluc,poggioli,[]
Lluc,Pol Bordas,['trap catala']
Lluc,IZZKID,['hyperpop en espanol']
Lluc,dani6ix,[]
Lluc,Joe Pops,[]
Lluc,Iglú,"['indie catala', 'musica catalana']"
